"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height
857760757084;;0AM301212A;;;"Заглушка корпуса КПП DSG7 DQ200 0AM 0CW";"Новая заглушка DQ200 0AM 0CW";"Заглушка КПП DSG7 DQ200 0AM 0CWНовая заглушка dsg7 dq200 0am 0cwОтличное качествоЗаглушка дсг 7 dq200 0am 0cw всегда в наличии";https://static.tildacdn.com/stor3665-6135-4436-b933-353239616333/aba24454fb019af2b222b590e44adf25.webp;890.00;;;;;PpH7uoLyJdOvGd2NTAfD;;0;0;0;0
246705755994;;0am325025n;;;"Соленоид DSG7 DQ200 0AM 0CW Shift 1 шт";"Новый соленоид Шифт BOSCH";"Новый соленоид DQ200 0am 0cw шифт - отличное качество BOSCH";https://static.tildacdn.com/stor3838-3636-4630-a338-373664663561/ec0f361477f890c9ff521580e84dbc04.webp;3890.00;;;;;Z94RG0G6795JlIppBXDM;;0;0;0;0
962282414144;;0am325025D;;;"Втулка штока мехатроника DSG7 DQ200 0AM 0CW";"Новая гильза штока сцепления мехатроника DQ200";"Новая втулка (гильза) для штока сцепления мехатроника DSG7 DQ200 (0AM / 0CW). Предназначена для защиты штока и обеспечения точного хода без боковых люфтов. Новая втулка нужна чтобы не было задиров и царапин (они появляются при больших пробегах и большом износе рабочей поверхности - внутри втулки гильзы мехатроника dq200). Совместима с короткой и длинной версиями штока (артикулы 0AM325091E 0AM325091F). Используется при ремонте мехатроника DSG 7 DQ200, рекомендуется заменить при каждом вскрытии блока. Применяется при ремонте мехатроника DSG7 DQ200 0AM 0CWНоваяОтличное качествоВсегда в наличии гильза на мехатроник DSG 7 DQ200 0AM 0CW";https://static.tildacdn.com/stor3939-3231-4337-b430-346166636630/a30d7c867e011870807304cfa6abee44.webp;1490.00;;;;;2nyMoRCKTyX2Tvn11KiI;;0;0;0;0
450096687724;;0am325025q;;;"Крышка штока мехатроника DSG7 DQ200 0AM 0CW";"Новая крышка штока сцепления DQ200";"Крышка штока мехатроника DQ200 DSG7 0AM 0CWНоваяОтличное качество";https://static.tildacdn.com/stor3430-3461-4964-b463-646464323338/f7f4e6ee83c107b5b8e66eb251440424.webp;390.00;;;;;G1xz2t7ZO7yXEISbXRja;;0;0;0;0
102130811214;;0AM325467J;;;"Сепараторная пластина плиты мехатроника DSG7 DQ200";"Сепараторная пластина гидроплиты DQ200 0AM325467J";"Сепараторная пластина под плиту мехатроника DSG7 DQ200 0AM325467JНовая Отличное качество";https://static.tildacdn.com/stor6366-3561-4563-a433-646365333639/d1440643d12dc912c509edb26a7e0be4.webp;890.00;;;;;9xBY2RIr7FeOA2MKMxKm;;0;0;0;0
469466757454;;0AM325433E;;;"Фильтр мехатроника DSG7 DQ200 0AM 0CW";"Новый фильтр 0AM325433E";"Где используется? В мехатроник dsg 7 dq200 0am 0cwНовый фильтр dsg7 dq200 0am 0cwФильтр мехатроника DQ200 всегда в наличииФильтр мехатроника dsg 7 dq200 поставляется напрямую с завода!Для чего нужен? Для ремонта мехатроника dsg 7 dq200 0am325025 0cw";https://static.tildacdn.com/stor3533-6231-4831-a330-656536636233/7d943e16c2c655ef3df607c56bef896f.webp;590.00;;;;;IrveCJJfKcRxpvKzixSy;;0;0;0;0
215454993804;;0am325066ad;;;"Сальник штока сцепления мехатроник DSG7 DQ200 0AM 0CW";"Манжет штока dq200";;https://static.tildacdn.com/stor3533-3561-4331-a364-306535626166/140227bc352d1f0fda35951b4cdcf40c.webp;390.00;;;;;LYXn3DfGv0V4B8DpJRUD;;0;0;0;0
308395859564;;02E305051C;;;"Фильтр мехатроника DQ250 02E DSG6";"Масляный фильтр DSG6 - отличное качество";"Масляный фильтр DQ250 DSG6 - отличное качество";https://static.tildacdn.com/stor3365-6337-4039-a439-353931333130/13561f236c48985753e6f9a1cb5745c7.webp;950.00;;;;;EjyiNjUYRfiEz211mAoV;;0;0;0;0
652713281134;;0am325025G;;;"Ремкомплект штоков DSG7 DQ200";"2 пыльника 2 сальника 2 крышки";"Ремкомплект штоков DQ200 DSG7 0AM 0CW 2 пыльника 2 сальника 2 крышкиНовыеОтличное качество материалов";https://static.tildacdn.com/stor3064-3562-4434-b832-646365356138/b451d285885af69fd22a18c203013fec.webp;1950.00;;;;;yz7G4IHOIBvVAX2PNsBe;;0;0;0;0
234426309604;;0AM325443D;;;"Прокладка крышки мехатроника DSG7 DQ200 0AM 0CW";"Прокладка мехатроника DSG7 DQ200 0AM325443D";"Прокладка крышки мехатроника DSG7 DQ200 (артикул 0AM325443D) предназначена для герметичного соединения корпуса мехатроника на роботизированной коробке передач DSG 7 DQ 200 с модификациями 0AM и 0CW. Используется при замене гидроблока, ревизии блока управления или устранении течи трансмиссионной жидкости.Подходит для большинства автомобилей VAG-группы (Volkswagen, Audi, Skoda, Seat), оснащённых трансмиссией DQ200. Обеспечивает надёжную герметизацию, изготовлена из термостойкого эластомера, рассчитанного на высокие нагрузки и температурные циклы.Прокладка 0AM325443D — один из ключевых элементов при ремонте мехатроника DSG 7. Может поставляться как отдельно, так и в составе ремонтных комплектов.Прокладка для крышки мехатроника DSG7 DQ200 (0AM / 0CW). Применяется при ремонте автоматических коробок VAG: VW, Audi, Skoda, Seat. Если у вас DQ200 то подойдет 100%. Обеспечивает надёжную герметизацию корпуса мехатроника, исключая подтекание масла. Устанавливается по периметру алюминиевой крышки мехатроника. Устойчива к нагреву, давлению и трансмиссионной жидкости. Артикул: 0AM325443D.";https://static.tildacdn.com/stor6563-6530-4934-a363-646335636230/f835a63b5af8012f6baa10bae579fc1b.webp;890.00;;;;;9iJX05U9LbjKj6Bu02iu;;0;0;0;0
